Predicted_User,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM,Grid_Distance,Instant_WPM
User_1,<space>,1_<space>,0.1031069755554199,0.1938061714172363,0.0871193408966064,0,108.91,0.0,61.91753292605816
User_1,<space>,o_<space>,0.0460977554321289,0.103330373764038,0.0734577178955078,0,87.63,0.0,116.13235840414963
User_1,o,l_o,0.1188416481018066,0.1947791576385498,0.0572326183319091,0,87.63,1.12,61.6082343998443
User_1,l,l_l,0.0773220062255859,0.1260101795196533,0.0759375095367431,0,87.63,0.0,95.2304015893288
User_1,l,e_l,0.0996723175048828,0.1883578300476074,0.0486881732940673,0,87.63,6.58,63.70852752427124
User_1,e,h_e,0.0199573040008544,0.0292809009552001,0.0886855125427246,0,87.63,3.64,409.8234551716851
User_1,h,START,0.0,0.0,0.0093235969543457,1,87.63,0.0,1200.0
User_1,e,m_e,0.0030844211578369,0.0655372142791748,0.0583031177520751,0,108.91,5.11,183.1020761560373
User_1,m,<space>_m,0.0660719871520996,0.1358053684234619,0.0624527931213378,0,108.91,0.0,88.36174990212587
User_1,s,t_s,0.0905153751373291,0.1510941982269287,0.1092782020568847,0,108.91,2.69,79.42065374328386
User_1,<space>,s_<space>,0.1300601959228515,0.0395448207855224,0.0452666282653808,1,108.91,0.0,303.45313903643415
User_1,t,i_t,0.0100812911987304,0.0538794994354248,0.0605788230895996,0,108.91,3.0,222.71921836211823
User_1,i,<space>_i,0.1067473888397216,0.1629765033721923,0.0437982082366943,0,108.91,0.0,73.63024578208915
User_1,<space>,t_<space>,0.0922267436981201,0.0177395343780517,0.0562291145324707,1,108.91,0.0,676.4551844634119
User_1,t,a_t,0.0744872093200683,0.1531682014465332,0.0710480213165283,0,108.91,3.64,78.3452432467771
User_1,a,h_a,0.0583195686340332,0.1174755096435546,0.0786809921264648,0,108.91,5.0,102.14895033365272
User_1,h,t_h,0.0907602310180664,0.04569673538208,0.0591559410095214,1,108.91,1.8,262.6008160028387
User_1,<space>,r_<space>,0.1267898082733154,0.0536005496978759,0.0658121109008789,1,87.63,0.0,223.87830101816175
User_1,r,e_r,0.0731892585754394,0.1530513763427734,0.079275369644165,0,87.63,1.0,78.40504467679425
User_1,e,s_e,0.0798256397247314,0.1535048484802246,0.0798621177673339,0,87.63,1.12,78.17342656473753
User_1,s,u_s,0.0419104099273681,0.0978116989135742,0.0736792087554931,0,87.63,4.61,122.68471086064177
User_1,u,<space>_u,0.1597421169281005,0.2303113937377929,0.055901288986206,0,87.63,0.0,52.10337102845148
User_1,<space>,s_<space>,0.0143241882324218,0.1045858860015869,0.0705692768096923,0,87.63,0.0,114.73823532764185
User_1,s,i_s,0.0419557094573974,0.0811254978179931,0.090261697769165,0,87.63,5.59,147.9189690388375
User_1,i,<space>_i,0.1447806358337402,0.2148444652557373,0.0391697883605957,0,87.63,0.0,55.854359504751294
User_1,<space>,e_<space>,0.0109214782714843,0.0939140319824218,0.070063829421997,0,87.63,0.0,127.77643283642725
User_1,e,m_e,0.1774351596832275,0.2279145717620849,0.0829925537109375,0,87.63,5.11,52.651306615561815
User_1,m,a_m,0.1161656379699707,0.0489468574523925,0.0504794120788574,1,87.63,6.28,245.16384962347456
User_1,a,n_a,0.0672187805175781,0.1101124286651611,0.0830051898956298,0,87.63,5.3,108.97952343318649
User_1,n,<space>_n,0.1138923168182373,0.1748995780944824,0.042893648147583,0,87.63,0.0,68.61080015594713
User_1,y,m_y,0.1217045783996582,0.1774671077728271,0.0731875896453857,0,87.63,2.62,67.61816401133338
User_1,<space>,y_<space>,0.1338849067687988,0.0121803283691406,0.0540888309478759,1,87.63,0.0,985.1951143125607
User_1,m,<space>_m,0.0521464347839355,0.1256041526794433,0.0557625293731689,0,87.63,0.0,95.53824251834588
User_1,c,i_c,0.0105938911437988,0.0747988224029541,0.0950527191162109,0,87.63,4.74,160.4303331856475
User_1,i,d_i,0.0050008296966552,0.0710995197296142,0.0642049312591552,0,87.63,4.61,168.7775113760971
User_1,d,e_d,0.0709147453308105,0.1263740062713623,0.0660986900329589,0,87.63,1.12,94.95623628669694
User_1,e,r_e,0.0660512447357177,0.1251795291900634,0.0554592609405517,0,87.63,1.0,95.86231932363384
User_1,r,p_r,0.0371983051300048,0.0841104984283447,0.0591282844543457,0,87.63,6.0,142.6694672392534
User_1,p,<space>_p,0.0738842487335205,0.1568593978881836,0.0469121932983398,0,87.63,0.0,76.50163242723995
User_1,<space>,u_<space>,0.0244350433349609,0.0663900375366211,0.082975149154663,0,87.63,0.0,180.7500107735402
User_1,u,o_u,0.0769734382629394,0.1213235855102539,0.0419549942016601,0,87.63,2.0,98.9090451747801
User_1,o,y_o,0.1117186546325683,0.1725404262542724,0.0443501472473144,0,87.63,3.0,69.54891824780604
